Lương tối thiểu,Lương tối đa,Lương TB,Tháng,Năm,Ngày trong tuần,Khoảng lương,Trang thu thập_Careerviet,Trang thu thập_Vietnamwork,Trang thu thập_Việclàm24h,Vị trí ứng tuyển_Chuyên viên- nhân viên,Vị trí ứng tuyển_Cộng tác viên,Vị trí ứng tuyển_Giám Đốc và Cấp Cao Hơn,Vị trí ứng tuyển_Giám đốc,Vị trí ứng tuyển_Kỹ thuật viên / Kỹ sư,Vị trí ứng tuyển_Mới Tốt Nghiệp,Vị trí ứng tuyển_Mới tốt nghiệp,Vị trí ứng tuyển_Mới đi làm,Vị trí ứng tuyển_Nhân viên,Vị trí ứng tuyển_Quản lý,Vị trí ứng tuyển_Quản lý / Trưởng phòng,Vị trí ứng tuyển_Quản lý cấp cao,Vị trí ứng tuyển_Quản lý cấp trung,Vị trí ứng tuyển_Quản lý nhóm- giám sát,Vị trí ứng tuyển_Sinh viên / Thực tập sinh,Vị trí ứng tuyển_Sinh viên/ Thực tập sinh,Vị trí ứng tuyển_Thực tập sinh/Sinh viên,Vị trí ứng tuyển_Trưởng nhóm / Giám sát,Vị trí ứng tuyển_Trưởng phòng,Yêu cầu bằng cấp_Không yêu cầu,Yêu cầu bằng cấp_Trung cấp,Yêu cầu bằng cấp_Trung học,Yêu cầu bằng cấp_chứng chỉ,Yêu cầu bằng cấp_kỹ sư,Yêu cầu bằng cấp_thạc sĩ,Yêu cầu bằng cấp_tiến sĩ,Yêu cầu kinh nghiệm_1,Yêu cầu kinh nghiệm_2,Yêu cầu kinh nghiệm_3,Địa điểm_bà rịa - vũng tàu,Địa điểm_bình dương,Địa điểm_bình thuận,Địa điểm_bình định,Địa điểm_bạc liêu,Địa điểm_bắc giang,Địa điểm_bắc ninh,Địa điểm_bến tre,Địa điểm_cà mau,Địa điểm_cần thơ,Địa điểm_gia lai,Địa điểm_hà nam,Địa điểm_hà nội,Địa điểm_hà nội nhật bản,Địa điểm_hưng yên,Địa điểm_hải dương,Địa điểm_hải phòng,Địa điểm_hậu giang,Địa điểm_hồ chí minh,Địa điểm_hồ chí minh hà nội,Địa điểm_hồ chí minh long an,Địa điểm_hồ chí minh nhật bản,Địa điểm_khánh hòa,Địa điểm_kiên giang,Địa điểm_long an,Địa điểm_lâm đồng,Địa điểm_nghệ an,Địa điểm_nhật bản,Địa điểm_ninh bình,Địa điểm_ninh thuận,Địa điểm_phú thọ,Địa điểm_quảng bình,Địa điểm_quảng nam,Địa điểm_quảng ngãi,Địa điểm_quảng ninh,Địa điểm_quốc tế,Địa điểm_thanh hóa,Địa điểm_thái nguyên,Địa điểm_thừa thiên - huế,Địa điểm_thừa thiên huế,Địa điểm_thừa thiên- huế,Địa điểm_tiền giang,Địa điểm_tp.hcm,Địa điểm_tây ninh,Địa điểm_vĩnh long,Địa điểm_vĩnh phúc,Địa điểm_đà nẵng,Địa điểm_đăk nông,Địa điểm_đắk lắk,Địa điểm_đồng nai,Địa điểm_đồng tháp
0.0,0.0,0.0,12,2024,0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.0,12,2024,0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.0,12,2024,0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.0,12,2024,0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60000000.0,0.0,0.0,12,2024,0,-60000000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.0,12,2024,0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,0.0,0.0,12,2024,0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80000000.0,210000000.0,145000000.0,12,2024,0,130000000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20000000.0,25000000.0,22500000.0,12,2024,0,5000000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19000000.0,25000000.0,22000000.0,12,2024,1,6000000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
